#;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
RULE_DISCOVERY;Monster Discovery;;;;;;;;;;;;;;
RULE_GROUP_MYTHOS;Mythos;;;;;;;;;;;;;;
RULE_DISCOVERY_DEFAULT;Default Monster Discovery;;;;;;;;;;;;;;
RULE_DISCOVERY_DEFAULT_DESC;Chance of monsters being discovered is at the normal level;;;;;;;;;;;;;;
RULE_DISCOVERY_MORE;Higher Monster Discovery;;;;;;;;;;;;;;
RULE_DISCOVERY_MORE_DESC;Monsters are more likely to have their true nature revealed;;;;;;;;;;;;;;
RULE_DISCOVERY_FEWER;Lower Monster Discovery;;;;;;;;;;;;;;
RULE_DISCOVERY_FEWER_DESC;Monsters are less likely to have their true nature revealed;;;;;;;;;;;;;;
RULE_BREEDING;Monster Genetics;;;;;;;;;;;;;;
RULE_BREEDING_DEFAULT;Default Genetics;;;;;;;;;;;;;;
RULE_BREEDING_DEFAULT_DESC;Race traits have the normal chance of being passed on;;;;;;;;;;;;;;
RULE_BREEDING_MORE;Stronger Genetics;;;;;;;;;;;;;;
RULE_BREEDING_MORE_DESC;Race traits are more likely to be passed on;;;;;;;;;;;;;;
RULE_BREEDING_FEWER;Weaker Genetics;;;;;;;;;;;;;;
RULE_BREEDING_FEWER_DESC;Race traits are less likely to be passed on;;;;;;;;;;;;;;
EDUCATION_FOCUS_MAGIC;Education Focus: Magic;;;;;;;;;;;;;x;
CHILDHOOD_FOCUS_MAGIC;Childhood Focus: Magic;;;;;;;;;;;;;x;
Zeus;Zeus;Zeus;Zeus;;Zeus;;;;;;;;;;
setting_culture_monster_kingdoms;Monster Kingdoms;;;;;;;;;;;;;;
setting_culture_animal_kingdoms_tooltip;In a world of werewolves, vampires, dragons, and other monsters, can humanity survive? Allows werewolf and vampire cultures to spawn and makes other monsters more common;;;;;;;;;;;;;;
setting_mythos_generate_monsters;Monster Generation;;;;;;;;;;;;;;
setting_mythos_generate_monsters_tooltip;Generate Mythos monsters on the map. Mandatory setting to avoid bugs.;;;;;;;;;;;;;;
setting_mythos_generate_monsters_mandatory;Mandatory;;;;;;;;;;;;;;
setting_mythos_generate_monsters_mandatory_tooltip;This settings is mandatory to avoid bugs.;;;;;;;;;;;;;;
giant;Gigantism;;;;;;;;;;;;;;
String_spirit;spirit;;;;;;;;;;;;;;
String_ghost_plu_cap;Ghosts;;;;;;;;;;;;;;
String_horse;horse;;;;;;;;;;;;;;
String_cat;cat;;;;;;;;;;;;;;
String_human;human;;;;;;;;;;;;;;
String_dragon;dragon;;;;;;;;;;;;;;
String_dragon_plu_cap;Dragons;;;;;;;;;;;;;;
String_dragonborn;dragonborn;;;;;;;;;;;;;;
String_vampire;vampire;;;;;;;;;;;;;;
String_vampire_plu_cap;Vampires;;;;;;;;;;;;;;
String_werewolf;werewolf;;;;;;;;;;;;;;
String_werewolf_plu_cap;Werewolves;;;;;;;;;;;;;;
String_giant;giant;;;;;;;;;;;;;;
String_giant_plu_cap;Giants;;;;;;;;;;;;;;
String_half_giant;half-giant;;;;;;;;;;;;;;
String_god;god;;;;;;;;;;;;;;
String_demi_god;demigod;;;;;;;;;;;;;;
String_zombie;[GetRevenantTerm];;;;;;;;;;;;;;
String_mummy;mummy;;;;;;;;;;;;;;
String_mummy_plu_cap;Mummies;;;;;;;;;;;;;;
String_djinn;djinn;;;;;;;;;;;;;;
String_djinn_plu_cap;Djinni;;;;;;;;;;;;;;
String_demon;demon;;;;;;;;;;;;;;
String_demon_plu_cap;Demons;;;;;;;;;;;;;;
String_dread_plague;the plague of undeath;;;;;;;;;;;;;;
String_claws;claws;;;;;;;;;;;;;;
String_hands;hands;;;;;;;;;;;;;;
String_claws_cap;Claws;;;;;;;;;;;;;;
String_hands_cap;Hands;;;;;;;;;;;;;;
String_claw;claw;;;;;;;;;;;;;;
String_hand;hand;;;;;;;;;;;;;;
String_claw_cap;Claw;;;;;;;;;;;;;;
String_hand_cap;Hand;;;;;;;;;;;;;;
String_Archrevenant;Arch[GetRevenantTerm];Archi[GetRevenantTerm];Erz[GetRevenantTerm];;Arci[GetRevenantTerm];;;;;;;;;;
String_Mistletoe;Mistletoe;;;;;;;;;;;;;;
String_Fennel;Fennel;;;;;;;;;;;;;;
String_Thyme;Thyme;;;;;;;;;;;;;;
String_Horehound;Horehound;;;;;;;;;;;;;;
String_Wolfsbane;Wolfsbane;;;;;;;;;;;;;;
String_Fern_Flower;Fern Flower;;;;;;;;;;;;;;
String_Moly;Moly;;;;;;;;;;;;;;
String_Lotus;Lotus;;;;;;;;;;;;;;
String_Sage;Sage;;;;;;;;;;;;;;
String_Raskovnik;Raskovnik;;;;;;;;;;;;;;
String_Asclepois;herb of Asclepois;;;;;;;;;;;;;;
String_July;July;;;;;;;;;;;;;;
String_Druid;Druid;;;;;;;;;;;;;;
NOT_CONSIDERING_MAJOR_DECISIONS;Is not already considering a major decision;;;;;;;;;;;;;;
slay_monster_desc;Raise your army against lands ruled by a monster to free their people.;;;;;;;;;;;;;;
CB_NAME_SLAY_MONSTER;Destroy Monster;;;;;;;;;;;;;;
WAR_NAME_SLAY_MONSTER;$ORDER$$FIRST_ADJ$ Monster Purge of $OTHER_TITLE$;;;;;;;;;;;;;;
dragon_tribal_tribute_cb_desc;Seize the target realm's wealth and make them your tributary forcing them to pay you 40% of their monthly income in tribute to you.;;;;;;;;;;;;;;
CB_NAME_DRAGON_TRIBUTARY;Draconic Tribute;;;;;;;;;;;;;;
WAR_NAME_DRAGON_TRIBUTARY;$ORDER$$FIRST_ADJ$ war to seize the wealth of $DEFENDER$;;;;;;;;;;;;;;
dragon_tribute_vassalize_desc;Dragon tribes are able to forcefully vassalize their tributaries, once the money is no longer good enough;;;;;;;;;;;;;;
CB_NAME_DRAGON_TRIBUTARY_VASSALIZE;Vassalize Tribute;;;;;;;;;;;;;;
WAR_NAME_DRAGON_TRIBUTARY_VASSALIZE;$ORDER$$FIRST_ADJ$ war to vassalize $OTHER_TITLE$;;;;;;;;;;;;;;
break_draconic_tribute_desc;Forcefully end the extortion of your realm by the nearby dragons;;;;;;;;;;;;;;
CB_NAME_FREE_DRAGON_TRIBUTARY;Break Draconic Tribute;;;;;;;;;;;;;;
WAR_NAME_FREE_DRAGON_TRIBUTARY;$ORDER$$FIRST_ADJ$ war to cease tribute to $OTHER_TITLE$;;;;;;;;;;;;;;
gain_half_wealth;Take half of target's wealth.;;;;;;;;;;;;;;
cb_force_heir_desc;Force liege to declare a new heir;;;;;;;;;;;;;;
CB_NAME_FORCE_HEIR;Force New Heir;;;;;;;;;;;;;;
WAR_NAME_FORCE_HEIR;$ORDER$$FIRST_ADJ$ war to change successor to $DEFENDER$;;;;;;;;;;;;;;
cb_seize_flame_desc;Seize the site of an extinguished Eternal Flame;;;;;;;;;;;;;;
CB_NAME_SEIZE_FLAME;Seize Eternal Flame;;;;;;;;;;;;;;
WAR_NAME_SEIZE_FLAME;$ORDER$$FIRST_ADJ$ war to seize the Eternal Flame at $OTHER_TITLE$;;;;;;;;;;;;;;
cb_replace_sapphire_flame;Purity;;;;;;;;;;;;;;
cb_replace_sapphire_flame_desc;Replace the impure Sapphire Flame with a more deserving holder;;;;;;;;;;;;;;
CB_NAME_REPLACE_SAPPHIRE_FLAME;Replace Impure Flame;;;;;;;;;;;;;;
WAR_NAME_REPLACE_SAPPHIRE_FLAME;$ORDER$$FIRST_ADJ$ war to purify the Sapphire Flame;;;;;;;;;;;;;;
vassalize_tribute;Vassalize Tribute;;;;;;;;;;;;;;
vassalize_tribute_desc;Force a draconic tribute to become your vassal;;;;;;;;;;;;;;
vassalize_draconic_tribute;Vassalize Tribute;;;;;;;;;;;;;;
vassalize_draconic_tribute_desc;Force a draconic tribute to become your vassal;;;;;;;;;;;;;;
CB_NAME_VASSALIZE_DRACONIC_TRIBUTE;Vassalize Tribute;;;;;;;;;;;;;;
WAR_NAME_VASSALIZE_DRACONIC_TRIBUTE;$ORDER$$FIRST_ADJ$ war to force vassalization of to $OTHER_TITLE$;;;;;;;;;;;;;;
CB_NAME_MONSTER_HUNTER_UPRISING;Monster Hunter Uprising;;;;;;;;;;;;;;
WAR_NAME_MONSTER_HUNTER_UPRISING;$ORDER$ Monster Hunter Revolt against $DEFENDER$;;;;;;;;;;;;;;
MONSTER_REVOLT;[Root.County.GetAdjective] Monster Hunter Uprising;;;;;;;;;;;;;;
cb_reclaim_defaulted_loan;Reclaim Gold;;;;;;;;;;;;;;
cb_reclaim_defaulted_loan_desc;Reclaim the gold from a stolen loan;;;;;;;;;;;;;;
CB_NAME_RECLAIM_DEFAULTED_LOAN;Reclaim Gold;;;;;;;;;;;;;;
WAR_NAME_RECLAIM_DEFAULTED_LOAN;$ORDER$$FIRST_ADJ$ war to force $DEFENDER$ to repay defaulted loan;;;;;;;;;;;;;;
show_profane_strength;Show Profane Strength;;;;;;;;;;;;;;
show_profane_strength_desc;Demonstrate the power of your undead army;;;;;;;;;;;;;;
CB_NAME_SHOW_PROFANE_STRENGTH;Show Profane Strength;;;;;;;;;;;;;;
WAR_NAME_SHOW_PROFANE_STRENGTH;$ORDER$$FIRST_ADJ$ war to demonstrate power over $DEFENDER$;;;;;;;;;;;;;;
liege_higher_purity_flame;You have higher Purity than the Sapphire Flame;;;;;;;;;;;;;;
priest_higher_purity_flame;One of your draconic vassal Flames has higher Purity than the Sapphire Flame;;;;;;;;;;;;;;
deposed_impure_flame;Deposed Impure Flame;;;;;;;;;;;;;;
DRACONIC_TRIBUTE_NAME;Draconic Tribute;;;;;;;;;;;;;;
DRACONIC_TRIBUTE_PLURAL;Draconic Tributes;;;;;;;;;;;;;;
DRACONIC_TRIBUTE_SUZERAIN;Dragon Overlord;;;;;;;;;;;;;;
DRACONIC_TRIBUTE_TRIBUTARY;Draconic Tributary;;;;;;;;;;;;;;
gold_not_spent;This gold will not be spent.;;;;;;;;;;;;;;
title_hermetics_apprentice;Hermetic Apprentice;Apprenti hermétique;Hermetischer Lehrling;;Aprendiz Hermético;;;;;;;;;x;
nick_hell_duke;Duke of Hell;;;;;;;;;;;;;;
nick_the_flame_keeper;the Flame Keeper;;;;;;;;;;;;;;
nick_the_everburning;the Everburning;;;;;;;;;;;;;;
nick_the_young_wolf;the Young Wolf;;;;;;;;;;;;;;
nick_wolf_blooded;the Wolf-blooded;;;;;;;;;;;;;;
nick_wolf_bane;Wolf-bane;;;;;;;;;;;;;;
nick_the_undead;the Undead;;;;;;;;;;;;;;
nick_dragonbane;Dragonbane;;;;;;;;;;;;;;
nick_blackadder;the Black Adder;;;;;;;;;;;;;;
nick_the_immigrant;the Immigrant;;;;;;;;;;;;;;
nick_the_bloody;the Bloody;;;;;;;;;;;;;;
nick_the_martyr;the Martyr;;;;;;;;;;;;;;
nick_evil_gods_tool;[nickname_target.Religion.GetRandomEvilGodNameCap]'s Tool;;;;;;;;;;;;;;
nick_the_pot_belly;the Pot-Belly;;;;;;;;;;;;;;
nick_the_fugitive;the Fugitive;;;;;;;;;;;;;;
