#;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
W_L_268289;https://en.wikipedia.org/wiki/Ramesses_II;https://fr.wikipedia.org/wiki/Rams%C3%A8s_II;https://de.wikipedia.org/wiki/Ramses_II.;;https://es.wikipedia.org/wiki/Rams%C3%A9s_II;;;;;;;;;x;
W_L_268296;https://en.wikipedia.org/wiki/Cu%C3%A9lebre;https://fr.wikipedia.org/wiki/Cu%C3%A9lebre;https://de.wikipedia.org/wiki/Cu%C3%A9lebre;;https://es.wikipedia.org/wiki/Cu%C3%A9lebre;;;;;;;;;x;
W_L_268297;https://en.wikipedia.org/wiki/Melusine;https://fr.wikipedia.org/wiki/M%C3%A9lusine_(f%C3%A9e);https://de.wikipedia.org/wiki/Melusine;;https://es.wikipedia.org/wiki/Melusina;;;;;;;;;x;
W_L_268298;https://en.wikipedia.org/wiki/Bisterne_Dragon;;;;;;;;;;;;;x;
W_L_268305;https://en.wikipedia.org/wiki/Ymir;https://fr.wikipedia.org/wiki/Ymir;https://de.wikipedia.org/wiki/Ymir;;https://es.wikipedia.org/wiki/Ymir;;;;;;;;;x;
W_L_268310;https://en.wikipedia.org/wiki/Lindworm#In_tales;;https://de.wikipedia.org/wiki/Goin_und_Moin;;https://es.wikipedia.org/wiki/Kr%C3%A1kum%C3%A1l;;;;;;;;;x;
W_L_268311;https://en.wikipedia.org/wiki/Lindworm#In_tales;https://fr.wikipedia.org/wiki/Lindworm#N%C3%ADdh%C3%B6gg_et_J%C3%B6rmungand;https://de.wikipedia.org/wiki/Goin_und_Moin;;;;;;;;;;;x;
W_L_268312;https://en.wikipedia.org/wiki/Lindworm#In_tales;;https://de.wikipedia.org/wiki/Goin_und_Moin;;;;;;;;;;;x;
W_L_268313;https://en.wikipedia.org/wiki/Lambton_Worm;https://fr.wikipedia.org/wiki/Ver_de_Lambton;https://de.wikipedia.org/wiki/Lindwurm_von_Lambton;;;;;;;;;;;x;
W_L_268314;https://en.wikipedia.org/wiki/Yggdrasil#Gr%C3%ADmnism%C3%A1l;https://fr.wikipedia.org/wiki/Yggdrasil#Arbre_des_mondes;https://de.wikipedia.org/wiki/Goin_und_Moin;;;;;;;;;;;x;
